1461;Neustadt, Grätz, Eger, Rom, Innsbruck, Ofen, Wien, Constanz, Zell am Untersee, Waldhausen, Nürnberg, Ingolstadt, Tibur, Neuspaur, Prag, Prag {recte: Graz}, Im Felde bey Lachsenburg, Leoben, Retz, Wiener Neustadt, Graz, im Feld bei Laxenburg
1462;Grätz, Freystadt, Im Heere von Gundelfingen, Nürnberg, Wien, Korneuburg, Regensburg, Neustadt, Graz, Wiener Neustadt, Feistritz, Cilli, Marburg, Oberburg, Großenzersdorf
1463;Neustadt, Rom, Judenburg, Wien, Ödenburg, Ofen, Prag, Haderstorff, Tulln, Zwetel, Haderstorf, Linz, Wiener Neustadt
1464;Neustadt, Baden, Stuhlweissenburg, Ofen, Innsbruck, Znaim, Emden, Wiener Neustadt, Graz
1465;Neustadt, Ulm, Steyr, Egenburg, Linz, Eberstorff, Zwetel, Wiener Neustadt, Wiener Neustadt]
1466;Neustadt, Rom, Ulm, Heidelberg, Nördlingen, Baden, Grätz, Krems, Nürnberg, Enns, Wiener Neustadt, Graz
1467;Rom, Grätz, Venedig, Neustadt, Leoben, Rotenmann, Wien, Linz, Gmunden, Aussee, Baden, Korneuburg, Tangermünde, August, Retz, Grunperg, Neapel, Belriguardi, Nausserlitz, Wiener Neustadt, Graz
1468;Neustadt, Zwetel, Nawserlitz, Wien, Grätz, Egenburg, Venedig, Bruck an der Mur, Rabtcz, Würzburg, Triest, Eberstorf, Pressburg, Rom, Graz, Wiener Neustadt
1469;Wien, Ferrara, Venedig, Judenburg, Grätz, Neunmarkt, Rom, Peuscheldorf, Neustadt, Fronleyttn, Bruck an der Mur, Schadwien, Graz, Wiener Neustadt
1470;Wien, Bruck an der Leitha, Neustadt, Villach, Triest, Völkermarkt, Laibach, Innsbruck, Mühlstatt, Strasburg, Corczyn, Strassburg, Friesach, Grätz, Linz, Graz, Millstatt, Knittelfeld, Wiener Neustadt
1471;Grätz, Heidelberg, Hagenau, Neustadt, Steyer, Regensburg, Germersheim, Nürnberg, Triest, Passau, Wien, Linz, Graz, Leoben, Straubing, Steyr
1472;Wien, Heidelberg, Neustadt, Krakau, Schretenthal, Grätz, Abbeville, Egenburg, Wiener Neustadt, Graz
1473;Grätz, Rom, Augsburg, Ulm, Baden, Nieder-Baden, Strassburg, Freyburg im Breisgau, Metz, Trier, Cölln, Achen, Graz, Göppingen, Niederbaden, Freiburg im Breisgau, Basel, Köln, Koblenz, Schlettstadt, Aachen, Friesach, Straßburg
1474;Cölln, Heidelberg, Rotemburg an der Tauber, Nürnberg, Rom, Augsburg, Innsbruck, Würzburg, Frankfurt, Wiesbaden, Andernach, Aschaffenburg, Rothenburg ob der Tauber, Köln, Augsburg], Dinkelsbühl, Schwäbisch Hall
1475;Andernach, Cölln, Paris, Im Lager vor Neuss, Rugenwald, Wien, Rom, Achen, Kopenhagen, Frankfurt, Passau, Linz, im kaiserlichen Heer bei Neuss, Köln, im Feldlager bei Neuss, im Feld bei Neuss, Aachen, Nördlingen, Wels, Ybbs, im Lager bei Neuss, im Heer bei Neuss, im kaiserlichen Heer bei Zons, Bonn, Landshut, Dingolfing, im Feld bei Köln, im Feld bei Zons, Neuss, Remagen, Linz am Rhein, Wertheim, Donauwörth, Vilshofen
1476;Wien, Neustadt, Rom, Paris, Lausanne, In castris apud Lausannam, Wiener Neustadt
1477;Neustadt, Wien, Trautmannsdorf, Mecheln, Brügge in Flandern, Grätz, Arwergk, Laa, Innsbruck, Ottensheim, Ofen, Krems, Rom, Lens en Artois, Steyer, Gmunden, Korneuburg, Steyr, Wiener Neustadt, Löwen, Gent, Brügge, Lens, Brüssel
1478;Grätz, Nürnberg, Innsbruck, Rom, Wien ?, Gurk, Ofen, Wien, Graz, Brüssel, Mecheln, Antwerpen, Lille, Gent, Brügge, im Feld bei Pont-à-Sault, im Feld bei Pont-à-Vendin
1479;Grätz, Wien, Neustadt, Florenz, Romund, Leibnitz, Rissel, Nürnberg, Korneuburg, Linz, Graz, ’s-Hertogenbosch, Brüssel, Dendermonde, Antwerpen, Brügge, Lille, Saint-Omer
1480;Grätz, Neustadt, Ofen, Tiernstein, Wien, Zwettel, Prag, Rom, Wiener Neustadt, Brüssel, Namur, Gent, Schloß Luxemburg, Brügge, Mecheln, ’s-Hertogenbosch, Maastricht
